优先级,淘宝搜索词,关键规格,数量,参考单价元,参考小计元,备注
P0,ESP32 C3 SuperMini Type-C,3.3V GPIO/USB 串口,2,7-15,14-30,一用一备
P0,5V 微型推式电磁铁 25*12*10 1mm,5V/约0.6A/推式,2,10-25,20-50,询问连续通电限制
P0,AO3400 MOSFET 开关模块,支持3.3V栅极,4,2-5,8-20,两用两备
P0,10mm 扁平振动马达 5V,带线,3,2-5,6-15,一用两备
P0,SS14 肖特基二极管,续流保护,10,0.2-0.5,2-5,也可1N5819
P0,有线光电鼠标 USB,基础大壳款,2,10-20,20-40,一拆一备
P0,USB 3.0 集线器 独立供电,至少3口,1,25-50,25-50,统一连接电脑
P0,5V 2A 电源 Type-C,稳压输出,1,15-30,15-30,执行器独立供电
P1,A5 黑色磨砂亚克力 3mm 定制,210x148mm,1,15-30,15-30,避免透明反光
P1,硅胶按键帽 圆形,触针软帽,1包,5-10,5-10,提高舒适度
P1,洞洞板杜邦线热缩管,装配耗材,1批,20-40,20-40,
,,总计,,,150-320,按最高备件预算
